,Open,High,Low,Close,Volume,OpenInt,RSI_14D,Volume_plain,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,PVT,AB_Middle_Band,AB_Upper_Band,AB_Lower_Band,Label
0,0.278252817,0.259254621,0.281173577,0.297558277,-0.752865598,0,-4.336424552,-0.752865598,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-5.47E-05,-4.929835782,-5.187853018,-4.600040999,0
1,0.283812249,0.24625271,0.284400021,0.27304225,-0.949492373,0,-4.336424552,-0.949492373,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-5.47E-05,-4.929835782,-5.187853018,-4.600040999,0
2,0.278252817,0.243466587,0.260893077,0.243437991,-0.880265168,0,-4.336424552,-0.880265168,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.007781006,-4.929835782,-5.187853018,-4.600040999,0
3,0.222195207,0.200746024,0.202817099,0.164339112,-0.768014454,0,-4.336424552,-0.768014454,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.060912824,-4.929835782,-5.187853018,-4.600040999,0
4,0.179572893,0.155239339,0.152115848,0.154162648,-0.734569366,0,-4.336424552,-0.734569366,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.075185109,-4.929835782,-5.187853018,-4.600040999,0
5,0.295857686,0.394381617,0.315281691,0.43355284,-0.104547425,0,-4.336424552,-0.104547425,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.671822101,-4.929835782,-5.187853018,-4.600040999,1
6,0.466346945,0.503040438,0.509329206,0.538555445,-0.474332828,0,-4.336424552,-0.474332828,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.493044324,-4.929835782,-5.187853018,-4.600040999,1
7,0.74107556,0.698533446,0.63331681,0.611178393,-0.258153944,0,-4.336424552,-0.258153944,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.026156042,-4.929835782,-5.187853018,-4.600040999,1
8,0.573366018,0.521614596,0.512094729,0.455756034,-0.744998635,0,-4.336424552,-0.744998635,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.307809571,-4.929835782,-5.187853018,-4.600040999,0
9,0.459397654,0.49978996,0.497345274,0.477496662,-0.799167746,0,-4.336424552,-0.799167746,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.188840328,-4.929835782,-5.187853018,-4.600040999,1
10,0.482561956,0.46078423,0.414379591,0.387296186,-0.890962582,0,-4.336424552,-0.890962582,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.097867859,-4.929835782,-5.187853018,-4.600040999,0
11,0.39685404,0.424100269,0.421293398,0.460844266,-0.957403682,0,-4.336424552,-0.957403682,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.129970132,-4.929835782,-5.187853018,-4.600040999,1
12,0.459397654,0.433387347,0.406083023,0.390996718,-0.853470486,0,-4.336424552,-0.853470486,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.117756687,-4.929835782,-5.187853018,-4.600040999,0
13,0.39685404,0.377200521,0.390872647,0.354453961,-0.944862365,0,1.327905796,-0.944862365,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.035843196,-4.929835782,-5.187853018,-4.600040999,0
14,0.352841868,0.363269903,0.312055248,0.387296186,-0.589954126,0,1.070272103,-0.589954126,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.073705945,-4.929835782,-5.187853018,-4.600040999,1
15,0.376006169,0.340980914,0.345702442,0.291544912,-0.142082388,0,0.784308296,-0.142082388,-4.929823171,-5.010496801,-4.824531971,-0.081028171,-0.256570936,-4.929835782,-5.187853018,-4.600040999,0
16,0.278252817,0.225821137,0.230933247,0.240662592,-0.823891769,0,0.704666559,-0.823891769,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.159924019,-4.929835782,-5.187853018,-4.600040999,0
17,0.263427664,0.237429986,0.251674668,0.206895234,-0.872486009,0,0.877423382,-0.872486009,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.019633977,-4.929835782,-5.187853018,-4.600040999,0
18,0.17169703,0.210961811,0.221714838,0.221234797,-0.925532282,0,0.345404407,-0.925532282,-4.929823171,-5.010496801,-4.824531971,-0.081028171,0.042465481,-4.929835782,-5.187853018,-4.600040999,1
19,0.26852381,0.218855828,0.251674668,0.194405938,-1.007706422,0,-0.510203574,-1.007706422,0.348282826,0.355112893,0.340142779,-0.081028171,-0.029635595,0.348330468,0.36386019,0.340304375,0
20,0.179572893,0.139915659,0.197746974,0.140285652,-0.940411811,0,-0.915736663,-0.940411811,0.340938322,0.354254326,0.325863768,-0.081028171,-0.025136681,0.34098594,0.354995503,0.339646106,0
21,0.13556072,0.106017821,0.178388314,0.126408656,-0.87185748,0,-1.134788391,-0.87185748,0.334025848,0.353825043,0.312450153,-0.081028171,0.029968491,0.334138248,0.345343179,0.337785197,0
22,0.152239017,0.189137176,0.191294087,0.243437991,-1.089657354,0,0.061285879,-1.089657354,0.334025848,0.353825043,0.312450153,-0.081028171,0.073992275,0.334138248,0.344314115,0.333152199,1
23,0.245822795,0.221641952,0.235542452,0.212446033,-0.796649786,0,0.452444419,-0.796649786,0.336185996,0.353825043,0.316777125,-0.081028171,-0.093762356,0.33638481,0.344141634,0.335748605,0
24,0.235167216,0.216069704,0.202817099,0.170815044,-0.81944151,0,0.674249114,-0.81944151,0.337050056,0.353825043,0.318507915,-0.081028171,-0.009721528,0.337162465,0.347892177,0.337214039,0
25,0.168917314,0.216069704,0.205582621,0.267028885,-0.793907731,0,0.870555095,-0.793907731,0.329273522,0.344380815,0.312450153,0.120190739,0.145078532,0.329385907,0.333139265,0.338195388,1
26,0.265280808,0.225821137,0.207887224,0.154162648,-0.85675297,0,0.675489997,-0.85675297,0.311560307,0.321628809,0.299469234,0.120190739,-0.20860568,0.311435018,0.32277614,0.32190686,0
27,0.192544901,0.182636221,0.214801031,0.199956736,-1.033960675,0,0.478695187,-1.033960675,0.292118974,0.283851895,0.299469234,0.120190739,0.13416364,0.292231239,0.289869955,0.311044896,1
28,0.216635775,0.180314451,0.224941281,0.178216109,-0.93748912,0,0.84543096,-0.93748912,0.279158085,0.265392721,0.29211338,0.120190739,-0.045972348,0.279270308,0.269107207,0.302479642,0
29,0.17632989,0.126913748,0.166865303,0.133809721,-0.82326324,0,1.084146861,-0.82326324,0.263172989,0.241352866,0.283892132,0.120190739,-0.02771771,0.263220355,0.248018249,0.290826015,0
30,0.146216298,0.095802035,0.148428484,0.123633257,-1.055852473,0,1.289621892,-1.055852473,0.251076159,0.227186523,0.273507397,-1.55663351,0.03899483,0.250907471,0.221877603,0.287276792,0
31,0.112859704,0.169634311,0.148428484,0.188392573,-0.936950465,0,1.237403481,-0.936950465,0.23811527,0.200141687,0.275238186,-1.62370648,0.058349785,0.238184157,0.212002113,0.272852603,1
32,0.186522183,0.145487906,0.152115848,0.120857857,-0.956280844,0,1.463996825,-0.956280844,0.225586411,0.180823947,0.269613122,-1.62370648,-0.10413047,0.225568851,0.195591824,0.264005645,0
33,0.118882423,0.068869506,0.124921541,0.081077135,-0.902694734,0,1.403732707,-0.902694734,0.212625522,0.164940471,0.260093782,-1.55663351,0.016773638,0.212802335,0.177465278,0.255380887,0
34,0.079039824,0.07165563,0.066845562,0.017705518,-0.815440919,0,1.361447939,-0.815440919,0.195344337,0.143047032,0.24754556,-1.69077945,-0.031578681,0.195542695,0.159679349,0.248049809,0
35,0.025298645,0.035900377,-0.006440791,0.053785709,-0.758259834,0,0.964301228,-0.758259834,0.184543596,0.131456388,0.236728128,-1.69077945,0.108433268,0.184439498,0.150241881,0.227354143,1
36,0.100814268,0.066083382,0.075603051,0.070438104,-0.871587857,0,0.253493502,-0.871587857,0.176335033,0.124158575,0.22850688,-1.62370648,-0.026484634,0.176490127,0.142515958,0.220477251,1
37,0.162431309,0.186351052,0.138749154,0.083852534,-0.14702873,0,-0.133759858,-0.14702873,0.170718648,0.119007178,0.222016421,-1.62370648,0.015302095,0.170744114,0.146105301,0.209653349,1
38,0.155482019,0.142701782,0.211574588,0.164339112,-0.903954453,0,0.043367552,-0.903954453,0.16812647,0.114714346,0.221151026,-1.55663351,0.039550074,0.168087123,0.137471077,0.21443634,1
39,0.165674312,0.130164226,0.172396348,0.133809721,-0.834052598,0,-0.202738891,-0.834052598,0.165102263,0.110850798,0.219420237,-1.48956054,-0.101156728,0.16525732,0.132520709,0.211574449,0
40,0.124441855,0.164062063,0.160412416,0.203657269,-0.847223331,0,0.445341646,-0.847223331,0.16812647,0.11514363,0.221151026,-1.42248757,0.09857602,0.168216733,0.139469686,0.204277687,1
41,0.219415491,0.172884788,0.202817099,0.150462116,-0.998716029,0,0.360646931,-0.998716029,0.169422559,0.116002196,0.222449118,-1.28834163,-0.104650414,0.169340013,0.146545532,0.201575144,0
42,0.13556072,0.119019731,0.166865303,0.167577078,-0.793143799,0,0.006072177,-0.793143799,0.165966322,0.109133666,0.222449118,-1.28834163,0.054713399,0.165797359,0.138993451,0.204552718,1
43,0.107300272,0.054474534,0.027206403,-0.028088569,-0.752371289,0,-0.859779305,-0.752371289,0.154733551,0.106128684,0.202545043,-0.6846849,-0.243014545,0.154564552,0.135287746,0.191107612,0
44,0.008620348,0.026148944,-0.009667234,0.073213503,-0.694561084,0,-0.802669011,-0.694561084,0.149981225,0.101835853,0.197785373,-0.6846849,0.356401669,0.150006625,0.128770979,0.179145603,1
45,0.085062543,0.093480265,0.132757188,0.102817762,-0.792334634,0,-0.996049406,-0.792334634,0.142204692,0.086810944,0.197785373,-1.28834163,-0.099623482,0.142338074,0.118422599,0.180215837,1
46,0.116565993,0.088372372,0.075603051,0.033895347,-0.798582972,0,-1.002444509,-0.798582972,0.136588307,0.083376679,0.189996822,-1.28834163,-0.106416176,0.136721671,0.111643304,0.17448562,0
47,0.071163962,0.07165563,0.105101961,0.102817762,-0.755203514,0,-1.074143291,-0.755203514,0.132268011,0.075649583,0.18869873,-1.28834163,0.154686151,0.132185345,0.106444875,0.169463701,1
48,0.121662139,0.121341501,0.160412416,0.106055728,-0.801189919,0,-1.384076766,-0.801189919,0.128811774,0.070068902,0.187400638,-1.28834163,-0.077298169,0.128815503,0.104273729,0.165938552,1
49,0.131854431,0.079085293,0.066845562,0.030657382,-0.811080829,0,-1.292324295,-0.811080829,0.124059448,0.06706392,0.180910179,-1.28834163,-0.082682562,0.123998357,0.107060878,0.156557805,0
50,0.036880795,0.002002539,0.038729414,0.030657382,-0.886287637,0,-1.140280185,-0.886287637,0.119739151,0.064058938,0.174852417,-1.28834163,0.079110871,0.119656445,0.104276893,0.149980739,1
51,0.034101079,0.039615208,0.071915687,0.017705518,-0.713215927,0,-0.614304216,-0.713215927,0.111530588,0.05461471,0.168794655,-1.28834163,-0.016270392,0.111685473,0.093223209,0.15120643,0
52,0.08181954,0.093480265,0.096805392,0.06026164,-0.5814134,0,-0.84484067,-0.5814134,0.108938411,0.051180445,0.166198472,-0.55053896,0.080326347,0.10885567,0.091160077,0.148319871,1
53,0.085062543,0.039615208,0.063619119,0.017705518,-0.612476523,0,-0.90206944,-0.612476523,0.105914203,0.049892596,0.161871499,-0.55053896,-0.125362413,0.105896257,0.092862269,0.142550671,0
54,0.040123798,-0.010070663,0.063619119,0.017705518,-0.78968334,0,-1.071775425,-0.78968334,0.105914203,0.049892596,0.161871499,-0.55053896,0.061087537,0.105896257,0.081668019,0.149490035,1
55,0.054948951,0.047973579,0.002777618,0.044996944,-0.49411317,0,-1.297728803,-0.49411317,0.105482174,0.049892596,0.161006104,-0.55053896,0.045663637,0.105485828,0.082494947,0.149667374,1
56,0.094791549,0.123663271,0.088508824,0.109293694,0.049688807,0,-0.99050298,0.049688807,0.107210292,0.052039011,0.162736893,-0.55053896,0.128094763,0.107300358,0.089407008,0.146271223,1
57,0.155482019,0.182636221,0.202817099,0.212446033,-0.677343048,0,0.297677736,-0.677343048,0.113258707,0.064058938,0.162304196,-0.55053896,-0.039673702,0.113305589,0.082746286,0.155342041,1
58,0.210613056,0.158025462,0.178388314,0.150462116,-0.952278774,0,-0.088617867,-0.952278774,0.112826677,0.062771089,0.162304196,-0.55053896,-0.181939854,0.112657543,0.088043998,0.149395656,0
59,0.189765185,0.200746024,0.181153837,0.255002155,-0.804876542,0,0.352243665,-0.804876542,0.118443062,0.076937432,0.159708012,-0.55053896,0.157666075,0.118317149,0.097165801,0.144242418,1
60,0.298637402,0.303832599,0.338788635,0.330863068,-0.479189,0,0.608843735,-0.479189,0.124059448,0.095396606,0.152784856,0.925066378,0.013603833,0.124257576,0.099882305,0.156073225,1
61,0.32921428,0.27690007,0.281173577,0.321611737,-0.759519849,0,0.94958963,-0.759519849,0.132268011,0.114714346,0.149323278,0.992139348,-0.133988403,0.13225015,0.107082667,0.15743055,0
62,0.319948559,0.267612992,0.278408055,0.221234797,-0.900402346,0,0.790343263,-0.900402346,0.134860188,0.119436461,0.149323278,0.992139348,-0.074958347,0.13475593,0.117399818,0.159308883,0
63,0.222195207,0.200746024,0.235542452,0.227248162,-1.023935249,0,0.713653679,-1.023935249,0.146524988,0.129309972,0.163602288,0.992139348,0.088857615,0.146679986,0.118162813,0.174639242,1
64,0.263427664,0.287115857,0.308367885,0.318373771,-0.899055413,0,0.845680338,-0.899055413,0.158189788,0.14819843,0.167496563,0.992139348,0.074920943,0.158128808,0.12463633,0.194645459,1
65,0.316705557,0.264362514,0.284400021,0.230486128,-0.789322069,0,0.223193738,-0.789322069,0.164238203,0.155496243,0.171823536,0.992139348,-0.171118993,0.164090836,0.134280924,0.200010148,0
66,0.232850786,0.200746024,0.230933247,0.209670634,-0.795076098,0,0.581199239,-0.795076098,0.172446766,0.161935489,0.182208271,0.992139348,0.070236485,0.172299426,0.135322706,0.211146473,0
67,0.210613056,0.166848187,0.205582621,0.154162648,-0.8208795,0,0.495202249,-0.8208795,0.174606914,0.163652622,0.184804455,0.992139348,-0.034256564,0.174697198,0.139175396,0.216330488,0
68,0.186522183,0.133879057,0.166865303,0.137510253,-0.435583674,0,0.725537795,-0.435583674,0.176335033,0.164511188,0.186967941,0.992139348,0.02710438,0.176166104,0.140326456,0.216082745,0
69,0.13556072,0.099516866,0.100031836,0.090791032,-0.824746463,0,0.947980094,-0.824746463,0.178927211,0.164940471,0.192160308,0.992139348,-0.01860583,0.178974305,0.140040479,0.218779999,0
70,0.088768831,0.035900377,0.02444088,-0.003109976,0.13806753,0,0.80424523,0.13806753,0.177199092,0.165369754,0.18869873,0.254336679,-0.219950312,0.177397392,0.146186497,0.213776886,0
71,0.008620348,-0.021215158,0.05486163,0.008916754,-0.560778956,0,0.206048162,-0.560778956,0.176767063,0.165799037,0.187400638,0.254336679,0.286096421,0.176986963,0.139260668,0.216946641,1
72,0.008620348,-0.034217068,-0.023494848,-0.042890699,-0.267637463,0,0.252083909,-0.267637463,0.172014737,0.167086887,0.176150509,0.254336679,-0.128204823,0.172169817,0.132714603,0.211978541,0
73,-0.045120832,-0.007748894,0.009230505,0.014004986,-0.7877945,0,-0.144912803,-0.7877945,0.172014737,0.16751617,0.175717812,-0.88590381,0.173409799,0.171997004,0.131217233,0.208798864,1
74,-0.01500724,0.018254927,0.045182301,0.027419416,-0.693931668,0,-0.793182026,-0.693931668,0.172446766,0.167086887,0.177015904,-0.88590381,-0.04670801,0.172450637,0.136941824,0.203699227,1
75,0.028541647,0.018254927,0.071915687,0.057023674,-0.992152836,0,-1.061335482,-0.992152836,0.172878796,0.16751617,0.177881298,-0.88590381,0.003882093,0.173012277,0.126140109,0.215814112,1
76,0.079039824,0.060046781,0.124921541,0.096804397,-1.012021574,0,-0.80048768,-1.012021574,0.172446766,0.167086887,0.177015904,-0.88590381,0.005598211,0.172429035,0.113697673,0.226523214,1
77,0.100814268,0.088372372,0.11478129,0.143061051,-0.879588449,0,-0.47825321,-0.879588449,0.168990529,0.162794056,0.174852417,-0.88590381,0.015674797,0.169188803,0.108793494,0.222962045,1
78,0.179572893,0.139915659,0.202817099,0.178216109,-0.642280517,0,-0.938041289,-0.642280517,0.170286618,0.164511188,0.175717812,-0.88590381,0.00506142,0.170484896,0.103931951,0.227955436,1
79,0.146216298,0.133879057,0.18391936,0.175903276,-0.956325486,0,-0.379692351,-0.956325486,0.166830381,0.158501224,0.17441972,-0.88590381,-0.049605011,0.16679103,0.094240374,0.23435549,0
80,0.17632989,0.180314451,0.233237849,0.215683999,-0.277932217,0,-0.499612228,-0.277932217,0.161213996,0.146481297,0.175717812,-0.88590381,0.08245149,0.161412244,0.086887356,0.231038662,1
81,0.216635775,0.231393384,0.238768895,0.243437991,-0.693078157,0,-0.43455207,-0.693078157,0.157757759,0.137466352,0.177448601,-0.88590381,-0.046171705,0.157761582,0.08451025,0.22933205,1
82,0.249529083,0.200746024,0.218027474,0.167577078,-0.722252143,0,-0.962438987,-0.722252143,0.155165581,0.13317352,0.176583206,-0.88590381,-0.124751418,0.155255802,0.080834059,0.227088715,0
83,0.165674312,0.137129535,0.202817099,0.157400614,-0.866013281,0,-0.655044864,-0.866013281,0.152141374,0.12759284,0.175717812,-0.88590381,0.080501542,0.151993968,0.07499962,0.228355768,0
84,0.155482019,0.123663271,0.181153837,0.143061051,-1.03715151,0,0.255884764,-1.03715151,0.143932811,0.109562949,0.177448601,-0.88590381,0.000610538,0.14380698,0.064085721,0.225675921,0
85,0.141120152,0.099516866,0.158107814,0.150462116,-0.81939746,0,0.221663584,-0.81939746,0.140044544,0.102265136,0.177448601,-0.88590381,0.016405125,0.140069911,0.052888259,0.223248368,1
86,0.198104334,0.191458946,0.233237849,0.203657269,-0.829735672,0,0.75829365,-0.829735672,0.139612514,0.101835853,0.177448601,-0.61761193,0.045884738,0.139789091,0.051363473,0.2244043,1
87,0.238873504,0.207711334,0.251674668,0.199956736,-0.835444468,0,1.00466556,-0.835444468,0.141772663,0.105699401,0.177881298,-0.61761193,-0.057246632,0.141927645,0.052737165,0.227036342,0
88,0.201810622,0.221641952,0.25444019,0.275817649,-0.909168349,0,1.404607583,-0.909168349,0.148253107,0.118577894,0.177448601,-0.61761193,0.068092048,0.148386509,0.056769701,0.231120903,1
89,0.274083243,0.261112036,0.318969055,0.300333676,-0.868845802,0,1.375473471,-0.868845802,0.158189788,0.135319936,0.180044785,-0.61761193,-0.042183183,0.158172011,0.058713031,0.246551618,1
90,0.298637402,0.287115857,0.312055248,0.300333676,-0.694965518,0,1.369446604,-0.694965518,0.172446766,0.150344845,0.1934584,-0.55053896,-0.02242344,0.172342629,0.066728924,0.26329113,1
91,0.232850786,0.231393384,0.275642532,0.285531547,-0.918024817,0,1.417717102,-0.918024817,0.185407655,0.161935489,0.208170108,1.126285288,-0.012175732,0.185260357,0.081294277,0.270743657,0
92,0.289834968,0.261112036,0.32403918,0.306809608,-1.078687656,0,1.308251967,-1.078687656,0.201392752,0.170521152,0.231968458,1.126285288,0.023294411,0.201591129,0.08984929,0.291739237,1
93,0.32921428,0.303832599,0.345702442,0.304034208,-0.984331106,0,1.300475401,-0.984331106,0.2152177,0.178677531,0.250574441,1.126285288,-0.013218203,0.215135302,0.101736722,0.309744329,0
94,0.30234369,0.259254621,0.322195498,0.304034208,-0.863541441,0,1.260909268,-0.863541441,0.228178589,0.185116778,0.270045819,1.327504198,0.001880604,0.22805303,0.109349485,0.325979742,1
95,0.305123406,0.293152458,0.345702442,0.321611737,-0.880803527,0,1.158268716,-0.880803527,0.240275418,0.192843874,0.28735371,1.327504198,0.015520126,0.240409117,0.122031527,0.338703572,1
96,0.372763167,0.333551251,0.370131226,0.357691927,-0.620253611,0,2.614422675,-0.620253611,0.252372248,0.204434518,0.299901931,1.327504198,0.033294536,0.252592392,0.137222275,0.34762431,1
97,0.35608487,0.314048385,0.32403918,0.291544912,-0.639133731,0,1.174968493,-0.639133731,0.259716752,0.208727349,0.309421272,1.528723108,-0.135851056,0.25952649,0.149107414,0.355944172,0
98,0.283812249,0.27690007,0.330031146,0.297558277,-0.769813124,0,0.794804593,-0.769813124,0.264901107,0.213449464,0.315911731,1.461650138,0.09337491,0.26509969,0.156298263,0.361016331,1
99,0.295857686,0.243466587,0.221714838,0.206895234,-0.15417522,0,-0.051720934,-0.15417522,0.266629226,0.213449464,0.318940612,1.394577168,-0.207065194,0.266546994,0.168150075,0.356321756,0
100,0.256478373,0.24625271,0.269650566,0.230486128,0.073963458,0,-0.348593508,0.073963458,0.267061255,0.213878747,0.319806006,1.327504198,0.263380644,0.267238244,0.173966934,0.355356578,1
